,name,rating,review_count,genre,location,best_comment
0,المسرح الروماني | Roman Theater,4.1,(151) , Performing arts theater,Al Uqayr Saudi Arabia,
1,Maraya,4.6,(1.1T) , Concert hall,Al Atheeb Saudi Arabia,"""Also the theater is another level of perfection."""
2,"Novo Cinemas, Seef Mall",4.3,(801) , Movie theater,"Muharraq, Bahrain · In Seef Mall - Arad, Muharraq","""The theater was comfortable and the screening was of high quality."""
3,Education Department Theater,4.0,(169) , Performing arts theater,,"""Screen size is good enough."""
4,Muvi Cinemas - Jubail Mall,4.3,(871) , Movie theater,Al Jubail Saudi Arabia · In Cenomi Al Jubail Mall,
5,vox cinemas,4.2,(3.5T) , Movie theater,Riyadh Saudi Arabia · In Qasr Mall by Dar Al Arkan,"""Sound system and atmosphere very good."""
6,AMC Cinemas Azizia 3,4.3,(604) , Movie theater,Riyadh Saudi Arabia,
7,Muvi Cinemas | موڤي سينما,3.8,(389) , Movie theater,Dhahran Saudi Arabia · In the Mall of Dhahran,
8,VOX Cinemas - Kingdom Centre,4.3,(1.4T) , Movie theater,Riyadh Saudi Arabia · In Kingdom Centre,"""Comfy chairs, and nice place for couples"""
9,AMC Cinemas Al Khair 9,4.3,(1.6T) , Movie theater,Riyadh Saudi Arabia · In Almakan Mall,
10,Empire Cinemas Khobar,3.9,(1.3T) , Movie theater,Al Khobar Saudi Arabia · In Al Rashid Mall,"""Lovely place and staff, prices are reasonable, screens chairs are wonderful 👌🏻"""
11,Dhahran Movie Theatre,3.5,(210) , Movie theater,Dhahran Saudi Arabia,"""Its a small cinema and staff is not a happy bunch"""
12,Saudi Aramco Abqaiq Community theater,3.9,(13) , Movie theater,Buqayq Saudi Arabia,
13,Vox Cinema - Riyadh Front,4.3,(5.8T) , Movie theater,Riyadh Saudi Arabia · In Riyadh Front - Shopping Area,
14,AMC Cinemas Riyadh Gallery 9,4.2,(1.5T) , Movie theater,Riyadh Saudi Arabia · In Riyadh Gallery Mall,"""Fancy chairs ,nice screens and snacks"""
15,vox cinema,4.2,(724) , Movie theater,Riyadh Saudi Arabia · In The Esplanade Mall,
16,Kmax Cinema,4.1,(130) , Movie theater,King Abdullah Economic City Saudi Arabia,
17,AMC - Hafr Al Batin 8,4.2,(23) , Movie theater,SH Saudi Arabia,
18,Muvi Boutique Cinema,4.4,(376) , Movie theater,Riyadh Saudi Arabia · In Cenomi Tala Mall,
19,Empire Cinemas - Head Office,4.0,(36) , Movie theater,Riyadh Saudi Arabia,
20,AMC Cinemas KAFD,3.9,(5.3T) , Movie theater,Riyadh Saudi Arabia · In Chalmont,"""Spacious and nice theater"""
21,Cinépolis Cinemas - Lulu Mall,4.0,(1.3T) , Movie theater,Dammam Saudi Arabia · In LuLu Mall - Dammam,Upscale digital movie theater
22,AMC Stars Avenue 9,4.2,(2.5T) , Movie theater,,
23,Vox Cinema - Riyadh Front,4.3,(5.8T) , Movie theater,Riyadh Saudi Arabia · In Riyadh Front - Shopping Area,
24,AMC Cinemas Riyadh Gallery 9,4.2,(1.5T) , Movie theater,Riyadh Saudi Arabia · In Riyadh Gallery Mall,"""Fancy chairs ,nice screens and snacks"""
